dataset_index,visibility,variant,n_incidents,PR@1,PR@5,MRR,avg_rank
84,0.1,MicroRCA (PPR on W),200,0.06,0.215,0.14097646234982147,502.035
84,0.1,PPR on W^T,200,0.0,0.015,0.007618867243744383,593.09
84,0.1,Basic IRWR (M_R),200,0.06,0.35,0.20287398930122982,382.85
84,0.1,PPR tuned (a=0.235),200,0.06,0.35,0.2028739906304302,382.845
84,0.1,eIRWR (full),200,0.06,0.37,0.20433402620295987,130.25
84,0.3,MicroRCA (PPR on W),200,0.175,0.36,0.28336641086308634,24.77
84,0.3,PPR on W^T,200,0.0,0.015,0.013208733887814388,125.305
84,0.3,Basic IRWR (M_R),200,0.46,0.62,0.5485559712176227,7.105
84,0.3,PPR tuned (a=0.235),200,0.46,0.62,0.5485938500055015,7.1
84,0.3,eIRWR (full),200,0.61,0.945,0.771289340078778,9.4
84,0.5,MicroRCA (PPR on W),200,0.345,0.585,0.47168042120250403,6.9
84,0.5,PPR on W^T,200,0.0,0.015,0.018452633900333713,74.08
84,0.5,Basic IRWR (M_R),200,0.725,0.995,0.8378012820512821,1.495
84,0.5,PPR tuned (a=0.235),200,0.725,0.995,0.8378012820512821,1.495
84,0.5,eIRWR (full),200,0.84,0.985,0.9147619047619047,1.23
