dataset_index,nrows,n_nodes,n_edges,method,mean_time_s,std_time_s,peak_memory_bytes,peak_memory_mb
297,100000,3971,8647,MicroRCA,0.000596789363771677,3.867791604893782e-05,127547,0.12163829803466797
297,100000,3971,8647,CloudRanger,1.2732449939940125,0.006407874501205852,104913,0.1000528335571289
297,100000,3971,8647,In-Degree,0.00014714282006025314,0.0001362655508222592,98283,0.09372997283935547
297,100000,3971,8647,MicroHECL,9.286641143262387e-05,3.059401958753946e-05,95734,0.09129905700683594
297,100000,3971,8647,TraceDiag,0.001304428605362773,0.00035995805826203946,163094,0.15553855895996094
297,100000,3971,8647,Neighbor Corr.,9.92290209978819e-05,4.2404876411275525e-05,159422,0.1520366668701172
297,100000,3971,8647,IRWR,0.0007083927746862173,5.263167800427086e-05,127571,0.12166118621826172
297,100000,3971,8647,eIRWR,0.004813147336244583,0.00043953543032408,1343358,1.2811260223388672
297,100000,3971,8647,TraceRank,0.007876614248380065,0.0005548965293605428,837203,0.7984189987182617
297,100000,3971,8647,Ensemble,0.013534016767516732,8.321636046740587e-05,1616037,1.541172981262207
297,100000,3971,8647,MonitorRank,0.0016093234065920115,4.535933671496613e-05,464291,0.4427824020385742
297,100000,3971,8647,MicroRank,0.002265407191589475,3.3821551137723364e-05,223299,0.21295452117919922
297,100000,3971,8647,CORAL,0.0018258963711559773,5.4238466847884696e-05,626085,0.597081184387207
297,500000,8463,21378,MicroRCA,0.0016514939721673726,8.828433913203305e-05,271342,0.2587718963623047
297,500000,8463,21378,CloudRanger,1.690948121016845,0.009097351946547304,218441,0.20832157135009766
297,500000,8463,21378,In-Degree,0.0001677350141108036,0.00010240838098437995,206067,0.19652080535888672
297,500000,8463,21378,MicroHECL,0.00022961939685046674,9.683098523761569e-05,203542,0.19411277770996094
297,500000,8463,21378,TraceDiag,0.0020672833081334828,0.00023085697136278853,360074,0.34339332580566406
297,500000,8463,21378,Neighbor Corr.,0.0001941503956913948,2.90248717890543e-05,339102,0.3233928680419922
297,500000,8463,21378,IRWR,0.0012670394033193588,6.271368512692783e-05,271315,0.2587461471557617
297,500000,8463,21378,eIRWR,0.009575457405298948,0.0004791641064278857,3138438,2.9930477142333984
297,500000,8463,21378,TraceRank,0.029862234462052585,0.030195867758686795,1788739,1.7058744430541992
297,500000,8463,21378,Ensemble,0.025582850072532894,0.00040581849246855087,3790543,3.614943504333496
297,500000,8463,21378,MonitorRank,0.0034439289942383767,7.75599760433212e-05,1059102,1.0100383758544922
297,500000,8463,21378,MicroRank,0.003992782160639763,5.879480285480628e-05,475121,0.4531106948852539
297,500000,8463,21378,CORAL,0.003762599593028426,6.154521308066453e-05,1490227,1.4211912155151367
297,1000000,10688,29042,MicroRCA,0.0022055812645703555,0.00023691570474718788,342491,0.32662487030029297
297,1000000,10688,29042,CloudRanger,9.619593696979186,0.1433581435436611,274652,0.2619285583496094
297,1000000,10688,29042,In-Degree,0.00019259979017078878,9.122695512517474e-05,259467,0.24744701385498047
297,1000000,10688,29042,MicroHECL,0.00035557979717850687,9.446820442811584e-05,256891,0.24499034881591797
297,1000000,10688,29042,TraceDiag,0.002443287568166852,0.0002997383958304343,468739,0.4470243453979492
297,1000000,10688,29042,Neighbor Corr.,0.0002498151734471321,5.37433171868415e-05,428051,0.4082212448120117
297,1000000,10688,29042,IRWR,0.0016441941261291504,0.00025169179028339836,342515,0.3266477584838867
297,1000000,10688,29042,eIRWR,0.013180520758032799,0.000858700037910295,4156758,3.964193344116211
297,1000000,10688,29042,TraceRank,0.017949193622916935,0.0009147316253601631,2254929,2.150467872619629
297,1000000,10688,29042,Ensemble,0.04872544840909541,0.030472463114650992,5028657,4.795701026916504
297,1000000,10688,29042,MonitorRank,0.004646794591099024,8.369321451988585e-05,1384469,1.3203325271606445
297,1000000,10688,29042,MicroRank,0.005115655390545726,6.711479183471441e-05,599828,0.5720405578613281
297,1000000,10688,29042,CORAL,0.005035590566694737,5.680591631836852e-05,2003467,1.9106550216674805
297,2000000,13421,38756,MicroRCA,0.0041798451915383335,0.0002598443879432954,429947,0.41002941131591797
297,2000000,13421,38756,CloudRanger,10.59564766365414,0.009871580205097472,343153,0.3272562026977539
297,2000000,13421,38756,In-Degree,0.00021850266493856908,9.22445936190526e-05,325059,0.3100004196166992
297,2000000,13421,38756,MicroHECL,0.000535508245229721,6.637721050258427e-05,322534,0.30759239196777344
297,2000000,13421,38756,TraceDiag,0.0024780767969787123,0.00033569862514716277,606104,0.5780258178710938
297,2000000,13421,38756,Neighbor Corr.,0.0003123465925455093,5.7374301199156406e-05,537422,0.5125255584716797
297,2000000,13421,38756,IRWR,0.0032238795887678862,0.00024095531947109343,429971,0.4100522994995117
297,2000000,13421,38756,eIRWR,0.017155133606866,0.000981237676660373,5441730,5.189638137817383
297,2000000,13421,38756,TraceRank,0.03695274298079312,0.03145803339661229,2827503,2.696516990661621
297,2000000,13421,38756,Ensemble,0.04175909361802042,0.0003121529901993284,6591201,6.285859107971191
297,2000000,13421,38756,MonitorRank,0.0072237875312566755,0.00011868587007665557,1792553,1.7095117568969727
297,2000000,13421,38756,MicroRank,0.006338257761672139,8.537926372088328e-05,752667,0.717799186706543
297,2000000,13421,38756,CORAL,0.007511824602261186,4.373201995293153e-05,2652019,2.5291624069213867
297,5000000,17468,55125,MicroRCA,0.005628901394084096,0.00011664488876907445,559451,0.533534049987793
297,5000000,17468,55125,CloudRanger,12.012720284285024,0.012168014782816369,445729,0.4250802993774414
297,5000000,17468,55125,In-Degree,0.0002688308246433735,8.857468670266204e-05,422187,0.40262889862060547
297,5000000,17468,55125,MicroHECL,0.0007615404203534127,6.41717298633617e-05,419662,0.4002208709716797
297,5000000,17468,55125,TraceDiag,0.0035980706103146075,0.0004183451824140802,802047,0.7648916244506836
297,5000000,17468,55125,Neighbor Corr.,0.00040885801427066327,7.327597336094205e-05,699302,0.6669063568115234
297,5000000,17468,55125,IRWR,0.004824057221412659,0.00017030964451308087,559475,0.5335569381713867
297,5000000,17468,55125,eIRWR,0.02258938429877162,0.0013828895136448196,7519572,7.171222686767578
297,5000000,17468,55125,TraceRank,0.02709693694487214,0.0006695240586818089,3699316,3.527942657470703
297,5000000,17468,55125,Ensemble,0.05684450836852193,0.003812217013225714,9123928,8.701255798339844
297,5000000,17468,55125,MonitorRank,0.0088922084774822,3.899768181715278e-05,2443668,2.330463409423828
297,5000000,17468,55125,MicroRank,0.00822278275154531,8.930064214721892e-05,979131,0.933772087097168
297,5000000,17468,55125,CORAL,0.009484932199120522,2.9807488776593673e-05,3730775,3.5579442977905273
