dataset_index,nrows,n_nodes,n_edges,alpha,method,mean_iters,std_iters,max_iters,min_iters
297,500000,8463,21378,0.01,IRWR,64.2,1.2489995996796797,66,62
297,500000,8463,21378,0.01,eIRWR,500.0,0.0,500,500
297,500000,8463,21378,0.05,IRWR,47.4,0.8602325267042626,49,46
297,500000,8463,21378,0.05,eIRWR,176.85,20.21701016471031,230,158
297,500000,8463,21378,0.1,IRWR,35.35,0.7921489758877429,37,34
297,500000,8463,21378,0.1,eIRWR,93.3,9.945350672550466,119,84
297,500000,8463,21378,0.15,IRWR,28.15,0.653834841531101,29,27
297,500000,8463,21378,0.15,eIRWR,63.55,6.375539192884003,80,57
297,500000,8463,21378,0.2,IRWR,23.0,0.5477225575051661,24,22
297,500000,8463,21378,0.2,eIRWR,48.1,4.646504062195577,60,44
297,500000,8463,21378,0.3,IRWR,16.75,0.4330127018922193,17,16
297,500000,8463,21378,0.3,eIRWR,31.65,2.903015673398957,39,29
297,500000,8463,21378,0.5,IRWR,10.2,0.39999999999999997,11,10
297,500000,8463,21378,0.5,eIRWR,17.8,1.5684387141358123,22,16
297,1000000,10688,29042,0.01,IRWR,63.1,1.5459624833740306,67,61
297,1000000,10688,29042,0.01,eIRWR,500.0,0.0,500,500
297,1000000,10688,29042,0.05,IRWR,46.75,1.0428326807307104,49,45
297,1000000,10688,29042,0.05,eIRWR,181.75,19.717695098565653,230,157
297,1000000,10688,29042,0.1,IRWR,34.9,0.7681145747868607,37,34
297,1000000,10688,29042,0.1,eIRWR,95.75,9.50197347923051,118,84
297,1000000,10688,29042,0.15,IRWR,27.75,0.698212002188447,29,27
297,1000000,10688,29042,0.15,eIRWR,65.0,6.0332412515993425,78,57
297,1000000,10688,29042,0.2,IRWR,22.8,0.6000000000000001,24,22
297,1000000,10688,29042,0.2,eIRWR,48.95,4.271709259769443,58,43
297,1000000,10688,29042,0.3,IRWR,16.55,0.49749371855331004,17,16
297,1000000,10688,29042,0.3,eIRWR,32.35,2.5352514668174435,38,29
297,1000000,10688,29042,0.5,IRWR,10.15,0.3570714214271425,11,10
297,1000000,10688,29042,0.5,eIRWR,18.0,1.2649110640673518,21,16
297,2000000,13421,38756,0.01,IRWR,65.65,1.3143439428094914,69,63
297,2000000,13421,38756,0.01,eIRWR,500.0,0.0,500,500
297,2000000,13421,38756,0.05,IRWR,48.6,1.0677078252031311,51,47
297,2000000,13421,38756,0.05,eIRWR,174.45,18.995986418188448,223,153
297,2000000,13421,38756,0.1,IRWR,36.2,0.812403840463596,38,35
297,2000000,13421,38756,0.1,eIRWR,92.35,9.269708733288226,116,82
297,2000000,13421,38756,0.15,IRWR,28.9,0.5385164807134505,30,28
297,2000000,13421,38756,0.15,eIRWR,62.8,6.004997918400971,78,56
297,2000000,13421,38756,0.2,IRWR,23.65,0.5722761571129799,25,23
297,2000000,13421,38756,0.2,eIRWR,47.3,4.337049688440288,58,43
297,2000000,13421,38756,0.3,IRWR,17.1,0.3,18,17
297,2000000,13421,38756,0.3,eIRWR,31.35,2.650943228362313,38,28
297,2000000,13421,38756,0.5,IRWR,10.6,0.4898979485566356,11,10
297,2000000,13421,38756,0.5,eIRWR,17.6,1.4966629547095762,21,16
297,5000000,17468,55125,0.01,IRWR,63.1,1.8138357147217052,67,60
297,5000000,17468,55125,0.01,eIRWR,500.0,0.0,500,500
297,5000000,17468,55125,0.05,IRWR,46.75,1.4097872179871684,50,44
297,5000000,17468,55125,0.05,eIRWR,183.1,22.425209029126126,243,157
297,5000000,17468,55125,0.1,IRWR,34.9,1.044030650891055,37,33
297,5000000,17468,55125,0.1,eIRWR,96.65,11.010336053000382,126,84
297,5000000,17468,55125,0.15,IRWR,27.85,0.9630680142129112,30,26
297,5000000,17468,55125,0.15,eIRWR,65.5,7.032069396699666,84,57
297,5000000,17468,55125,0.2,IRWR,22.8,0.6782329983125269,24,22
297,5000000,17468,55125,0.2,eIRWR,49.4,5.141984052872977,63,43
297,5000000,17468,55125,0.3,IRWR,16.65,0.57227615711298,18,16
297,5000000,17468,55125,0.3,eIRWR,32.6,3.215587038162705,41,29
297,5000000,17468,55125,0.5,IRWR,10.4,0.4898979485566356,11,10
297,5000000,17468,55125,0.5,eIRWR,18.25,1.8131464364468746,23,16
