visibility,method,n_incidents,PR@1,PR@3,PR@5,Precision@1,Precision@3,Precision@5,Recall@1,Recall@3,Recall@5,MRR,MAP,avg_rank,median_rank,dataset_index,n_rows,n_nodes,n_edges
0.0,MicroRCA,200,0.005,0.05,0.065,0.005,0.016666666666666666,0.013000000000000001,0.005,0.05,0.065,0.04422166299248124,0.04422166299248124,6848.165,244.0,297,20592271,24368,87843
0.0,CloudRanger,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003594738170904123,0.0003594738170904123,11285.055,10834.0,297,20592271,24368,87843
0.0,In-Degree,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000321358130141692,0.000321358130141692,11502.85,11765.5,297,20592271,24368,87843
0.0,MicroHECL,200,0.06,0.13,0.155,0.06,0.04333333333333333,0.031,0.06,0.13,0.155,0.10943422638663403,0.10943422638663403,7466.1,180.5,297,20592271,24368,87843
0.0,TraceDiag,200,0.005,0.015,0.025,0.005,0.005,0.005,0.005,0.015,0.025,0.016835634500945114,0.016835634500945114,10141.525,10987.0,297,20592271,24368,87843
0.0,Neighbor Corr.,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022471176190393596,0.0022471176190393596,6317.27,858.0,297,20592271,24368,87843
0.0,MonitorRank,200,0.005,0.045,0.075,0.005,0.015,0.015,0.005,0.045,0.075,0.04392640851798645,0.04392640851798645,7036.02,366.5,297,20592271,24368,87843
0.0,MicroRank,200,0.865,1.0,1.0,0.865,0.33333333333333326,0.2,0.865,1.0,1.0,0.9258333333333334,0.9258333333333334,1.175,1.0,297,20592271,24368,87843
0.0,CORAL,200,0.005,0.05,0.065,0.005,0.016666666666666666,0.013000000000000001,0.005,0.05,0.065,0.04498005409938059,0.04498005409938059,6855.175,237.5,297,20592271,24368,87843
0.0,TraceRank,200,0.1,0.305,0.48,0.1,0.10166666666666666,0.096,0.1,0.305,0.48,0.29867460317460315,0.29867460317460315,5.3,6.0,297,20592271,24368,87843
0.0,IRWR,200,0.01,0.1,0.155,0.01,0.03333333333333333,0.031,0.01,0.1,0.155,0.07601770186747378,0.07601770186747378,6671.855,177.0,297,20592271,24368,87843
0.0,eIRWR,200,0.005,0.2,0.245,0.005,0.06666666666666667,0.049,0.005,0.2,0.245,0.11014617905691117,0.11014617905691117,5594.145,234.0,297,20592271,24368,87843
0.05,MicroRCA,200,0.005,0.065,0.09,0.005,0.021666666666666664,0.018000000000000002,0.005,0.065,0.09,0.05738063106796981,0.05738063106796981,3480.415,120.5,297,20592271,24368,87843
0.05,CloudRanger,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006000497681694364,0.0006000497681694364,6058.45,4610.0,297,20592271,24368,87843
0.05,In-Degree,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000321358130141692,0.000321358130141692,11502.85,11765.5,297,20592271,24368,87843
0.05,MicroHECL,200,0.065,0.125,0.155,0.065,0.04166666666666666,0.031,0.065,0.125,0.155,0.11139399165738785,0.11139399165738785,7459.655,180.5,297,20592271,24368,87843
0.05,TraceDiag,200,0.005,0.05,0.055,0.005,0.016666666666666666,0.011000000000000001,0.005,0.05,0.055,0.03644366619361122,0.03644366619361122,2723.25,323.5,297,20592271,24368,87843
0.05,Neighbor Corr.,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003115062364678729,0.003115062364678729,2686.465,423.5,297,20592271,24368,87843
0.05,MonitorRank,200,0.005,0.07,0.115,0.005,0.02333333333333333,0.023,0.005,0.07,0.115,0.059001537612951696,0.059001537612951696,3816.255,144.5,297,20592271,24368,87843
0.05,MicroRank,200,0.865,1.0,1.0,0.865,0.33333333333333326,0.2,0.865,1.0,1.0,0.9258333333333334,0.9258333333333334,1.175,1.0,297,20592271,24368,87843
0.05,CORAL,200,0.005,0.065,0.095,0.005,0.021666666666666664,0.019000000000000003,0.005,0.065,0.095,0.05880091827667791,0.05880091827667791,3497.51,118.0,297,20592271,24368,87843
