timestamp,method,top_1,downstream_anomaly_ratio,anomaly_centrality,cascade_coverage
0,MicroRCA,MS_52740,1.0,0.0006905577891042708,0.0008015297980632916
0,CloudRanger,MS_53946,0.1346153846153846,0.0005304921909537283,0.0007620392714021772
0,In-Degree,MS_27421,0.0,0.0,0.0
0,MicroHECL,MS_52740,1.0,0.0004150295796615133,0.0008015297980632916
0,TraceDiag,MS_39661,0.1724137931034483,0.0008138541639038765,0.0008489503710639768
0,Neighbor Corr.,MS_27421,0.0,0.0,0.0
0,MonitorRank,MS_39661,0.1875,0.0008236902332499702,0.0008489503710639768
0,MicroRank,MS_1,0.5,0.00018907492274604807,0.0
0,CORAL,MS_52740,1.0,0.0006905577891042708,0.0008015297980632916
0,TraceRank,MS_9895,0.42857142857142855,0.00019114567961274137,0.0017915876295737786
0,IRWR,MS_52740,1.0,0.0006905577891042708,0.0008015297980632916
0,eIRWR,MS_29494,0.06382978723404255,0.0008440909267953392,0.5582989521326063
60000,MicroRCA,MS_50717,0.625,0.0009082433472610835,0.002059390632686228
60000,CloudRanger,MS_66495,0.08695652173913043,0.0004690028224293318,0.5797794798236797
60000,In-Degree,MS_27421,0.0,0.0,0.0
60000,MicroHECL,MS_67520,0.8333333333333334,0.0008239765239034583,0.002059390632686228
60000,TraceDiag,MS_13336,0.2777777777777778,0.0011470287770794952,0.0013710451108767995
60000,Neighbor Corr.,MS_27421,0.0,0.0,0.0
60000,MonitorRank,MS_13336,0.2777777777777778,0.0011470287770794952,0.0013710451108767995
60000,MicroRank,MS_1,0.25,0.0001911647586874563,0.0
60000,CORAL,MS_50717,0.7142857142857143,0.0010462775158783199,0.002059390632686228
60000,TraceRank,MS_1,0.14285714285714285,8.296018669017472e-05,0.0
60000,IRWR,MS_50717,0.7142857142857143,0.0010462775158783199,0.002059390632686228
60000,eIRWR,MS_61052,0.0,0.0012592001294451478,0.5810813246039004
120000,MicroRCA,MS_65497,1.0,0.0008505782664599625,0.0010580792379060225
120000,CloudRanger,MS_20086,0.07547169811320754,0.00043935827386849845,0.5729915679910351
120000,In-Degree,MS_27421,0.0,0.0,0.0
120000,MicroHECL,MS_65497,1.0,0.0007375626477017005,0.0010580792379060225
120000,TraceDiag,MS_69431,0.2,0.0011310398611516087,0.5729915679910351
120000,Neighbor Corr.,MS_27421,0.0,0.0,0.0
120000,MonitorRank,MS_69431,0.2,0.0011310398611516087,0.5729915679910351
120000,MicroRank,MS_1,0.0,0.0,0.0
120000,CORAL,MS_65497,1.0,0.0008505782664599625,0.0010580792379060225
120000,TraceRank,MS_46825,0.0,6.150398399586439e-05,0.0
120000,IRWR,MS_65497,1.0,0.0008505782664599625,0.0010580792379060225
120000,eIRWR,MS_27783,0.14285714285714285,0.00115435305716453,0.001188652196672011
