visibility,baseline,statistic,p_value,effect_size_r,significant_001,significant_005,proposed
0.0,MicroRCA,4767.0,4.383765770731044e-09,0.45581227954411085,True,True,eIRWR
0.0,CloudRanger,3861.5,2.1592365721554696e-14,0.5339379693277929,True,True,eIRWR
0.0,In-Degree,3979.0,6.427698007957535e-14,0.5238001796540407,True,True,eIRWR
0.0,MicroHECL,7235.5,0.004254920018224109,0.24283241733426086,False,True,eIRWR
0.0,TraceDiag,5319.0,6.235720084141286e-09,0.4081862378427387,True,True,eIRWR
0.0,Neighbor Corr.,4795.0,7.181128782438484e-11,0.453396465834621,True,True,eIRWR
0.0,MonitorRank,4075.5,8.504339091376718e-12,0.5154742502624059,True,True,eIRWR
0.0,MicroRank,19701.0,1.0,0.8326792182245342,False,False,eIRWR
0.0,CORAL,4773.5,4.610193882438071e-09,0.45525146564726504,True,True,eIRWR
0.0,TraceRank,17533.5,1.0,0.6456693533917006,False,False,eIRWR
0.0,IRWR,5648.5,1.1305027106890349e-05,0.3797572872257059,True,True,eIRWR
0.05,MicroRCA,3805.0,1.1867536266234906e-12,0.5388127362772993,True,True,eIRWR
0.05,CloudRanger,1744.0,1.937048539889872e-24,0.7166338811079661,True,True,eIRWR
0.05,In-Degree,475.0,7.773219414053076e-32,0.8261220095844901,True,True,eIRWR
0.05,MicroHECL,3135.0,3.3775688976537976e-16,0.5966197071829504,True,True,eIRWR
0.05,TraceDiag,3669.5,7.249413880677474e-14,0.5505035490500094,True,True,eIRWR
0.05,Neighbor Corr.,2968.0,2.779965802000801e-18,0.6110283103788365,True,True,eIRWR
0.05,MonitorRank,3344.0,1.3369202708615056e-14,0.5785873834228294,True,True,eIRWR
0.05,MicroRank,19503.0,1.0,0.8155959641359986,False,False,eIRWR
0.05,CORAL,3826.5,2.3946695800478476e-12,0.5369577364646553,True,True,eIRWR
0.05,TraceRank,17762.0,1.0,0.6653841188423592,False,False,eIRWR
0.05,IRWR,4861.5,8.756027165207667e-07,0.4476589082745825,True,True,eIRWR
0.1,MicroRCA,3937.0,8.923371289882502e-13,0.5274239002182756,True,True,eIRWR
0.1,CloudRanger,136.0,5.492254305865507e-34,0.8553706112815286,True,True,eIRWR
0.1,In-Degree,38.0,1.2713243689238836e-34,0.8638259592647433,True,True,eIRWR
0.1,MicroHECL,1879.5,3.0297330109055873e-22,0.7049430683352561,True,True,eIRWR
0.1,TraceDiag,2157.5,3.466398076376443e-21,0.6809574893624636,True,True,eIRWR
0.1,Neighbor Corr.,1242.5,3.071962447169296e-27,0.7599028302261512,True,True,eIRWR
0.1,MonitorRank,3718.5,6.973905540360217e-14,0.546275875058402,True,True,eIRWR
0.1,MicroRank,19110.0,1.0,0.7816882931420869,False,False,eIRWR
0.1,CORAL,4065.5,1.7353082609562887e-12,0.5163370408729381,True,True,eIRWR
0.1,TraceRank,16988.5,1.0,0.5986472651177008,False,False,eIRWR
0.1,IRWR,4662.5,7.99309685674525e-07,0.46482844142417135,True,True,eIRWR
0.15,MicroRCA,2929.5,2.886753530969216e-16,0.6143500542293852,True,True,eIRWR
0.15,CloudRanger,11.0,8.472862174371969e-35,0.8661554939131798,True,True,eIRWR
0.15,In-Degree,6.0,7.859630513633259e-35,0.866586889218446,True,True,eIRWR
0.15,MicroHECL,1137.5,2.7971743618498307e-26,0.7689621316367382,True,True,eIRWR
0.15,TraceDiag,1741.5,3.2910094332433607e-23,0.7168495787605992,True,True,eIRWR
0.15,Neighbor Corr.,706.5,2.0739440735478143e-30,0.806148406950672,True,True,eIRWR
0.15,MonitorRank,2800.0,4.224987520705248e-17,0.6255231926357759,True,True,eIRWR
0.15,MicroRank,17391.0,1.0,0.6333745871916181,False,False,eIRWR
0.15,CORAL,3026.5,1.3601348969306804e-15,0.6059809853072237,True,True,eIRWR
0.15,TraceRank,15580.5,0.9999999999999994,0.47716634715478046,False,False,eIRWR
0.15,IRWR,4863.0,7.707045156280636e-06,0.4475294896830027,True,True,eIRWR
0.2,MicroRCA,2138.5,1.427353459402945e-19,0.6825967915224747,True,True,eIRWR
0.2,CloudRanger,35.0,1.215137052182795e-34,0.8640847964479028,True,True,eIRWR
0.2,In-Degree,0.0,7.180630928894819e-35,0.8671045635847652,True,True,eIRWR
0.2,MicroHECL,674.0,3.899908031968544e-29,0.8089524764349014,True,True,eIRWR
0.2,TraceDiag,1164.0,2.5639894285618272e-26,0.7666757365188281,True,True,eIRWR
0.2,Neighbor Corr.,433.5,6.430196995970908e-32,0.8297025906181984,True,True,eIRWR
0.2,MonitorRank,1899.5,5.177642529671731e-20,0.703217487114192,True,True,eIRWR
0.2,MicroRank,13805.0,1.0,0.3239778742548053,False,False,eIRWR
0.2,CORAL,2117.5,4.89904755922663e-19,0.6844086518045921,True,True,eIRWR
0.2,TraceRank,10952.5,0.9956751811121448,0.07786685260052245,False,False,eIRWR
0.2,IRWR,4667.0,4.6834223931353814e-06,0.4644401856494319,True,True,eIRWR
0.3,MicroRCA,1397.5,9.187708634349419e-24,0.7465295757629036,True,True,eIRWR
0.3,CloudRanger,0.0,7.178406311679922e-35,0.8671045635847652,True,True,eIRWR
0.3,In-Degree,0.0,7.180732063806761e-35,0.8671045635847652,True,True,eIRWR
0.3,MicroHECL,389.0,3.8152551141445907e-31,0.8335420088350662,True,True,eIRWR
0.3,TraceDiag,696.5,1.099273106329676e-27,0.8070111975612041,True,True,eIRWR
0.3,Neighbor Corr.,113.0,5.722649462220011e-34,0.8573550296857524,True,True,eIRWR
0.3,MonitorRank,1217.0,5.159735772891862e-23,0.762102946283008,True,True,eIRWR
0.3,MicroRank,4433.5,0.9999999998045125,0.4845863464053566,False,False,eIRWR
0.3,CORAL,1455.5,3.2137509719763137e-23,0.7415253902218173,True,True,eIRWR
0.3,TraceRank,4321.0,0.9999999999980101,0.4942927407738428,False,False,eIRWR
0.3,IRWR,3137.5,2.9414126599954984e-09,0.5964040095303174,True,True,eIRWR
0.5,MicroRCA,305.0,4.1161410541753763e-22,0.840789449963536,True,True,eIRWR
0.5,CloudRanger,0.0,7.171332447681851e-35,0.8671045635847652,True,True,eIRWR
0.5,In-Degree,0.0,7.180732063806761e-35,0.8671045635847652,True,True,eIRWR
0.5,MicroHECL,65.0,8.681610507071618e-33,0.8614964246163065,True,True,eIRWR
0.5,TraceDiag,209.0,1.8114094625420766e-26,0.8490722398246442,True,True,eIRWR
0.5,Neighbor Corr.,0.0,7.103767773886395e-35,0.8671045635847652,True,True,eIRWR
0.5,MonitorRank,261.5,6.0674858040116025e-22,0.8445425891193505,True,True,eIRWR
0.5,MicroRank,293.0,0.04920966719867057,0.8418247986961745,False,True,eIRWR
0.5,CORAL,308.0,6.63041021300223e-22,0.8405306127803763,True,True,eIRWR
0.5,TraceRank,136.0,0.9999122199289253,0.8553706112815286,False,False,eIRWR
0.5,IRWR,321.5,1.5180996197445529e-06,0.8393658454561581,True,True,eIRWR
